article number,article name ,Commodity Group Name,Product Retail Price
087116080027,PHILLIPS UNION CHERRY WHISKEY 750ML,WHISKEY,19.99
089540540085,KAHLUA  MINT MOCHA 750ML,LIQUEUR,21.99
7501233710108,ELCAPO TEQUILA PLATNUM,TEQUILA,
811751020885,STOLICHNAYA OHRANJ 50ML,VODKA,1.00
720815988347,SEAGRAMS VODKA 1.75L,VODKA,13.99
087116014671,UV VODKA 750ML,VODKA,9.99
898432002002,DULCE VIDA BLANCO 80 750ML,TEQUILA,23.99
01254598601,FRUTELLA PEAR MOSCATO 750ML,WINE,7.99
732048002127,ROSENBLUM ZIN CUVEE 750ML,WINE,
089016013808,SOBIESKI LEMON MERINGUE 750ML,VODKA,11.99
858513001065,RUSKOVA 50ML,VODKA,0.99
027724227506,ST GEORGE TERROIR GIN 750ML,GIN,26.99
08835213116,BLOOD OATH BOURBON 750ML,WHISKEY,139.99
605330001026,HOUSE JAM SMOOTH RED 750ML,WINE,7.99
085200027057,WINE 4 GRILLING SANGRIA 3L,WINE,
617768122754,SVEDKA CLEMENTINE 750ML,VODKA,11.99
815992010100,CORRALILLO SAUV BLANC 2014 ,WINE,4.99
089708451567,PINNACLE MARSHMALLOW 1.75L,VODKA,14.99
087872637220,STELLA ROSA ROSA 22 750ML,LIQUEUR,27.99
089708450928,PINNACLE KEY LIME WHIPPED 1L,VODKA,5.99
094922365491,1876 750ML,VODKA,13.99
085763000191,MESSINA HOF ANGEL RIES 750ML,WINE,16.99
084279950716,PORTO CRUZ RUBY 750ML,WINE,14.99
811538013420,THREE OLIVES PINEAPPLE 1.75L,VODKA,16.99
084279013268,TRADER VICS GOLD RUM 750ML,LIQUEUR,
081434031259,REX GOLIATH MERLOT 1.5L,WINE,
859682006028,ROCK N ROLL MANGO SILVER TEQUILA 750ML,TEQUILA,39.99
1111302,PRO BAR LIME 28OZ POUCH,MIXERS,3.99
085000023105,PROPHECY PINOT NOIR ,WINE,8.99
811538016049,THREE OLIVES SMORES 750ML,VODKA,9.99
00698929000012,MARTIN MILLERS 750ML GIFT,GIN,29.99
814794010646,JEFFERSONS OCEAN AGED AT SEA,WHISKEY,99.99
083300044776,TUACA 750ML,LIQUEUR,23.99
633736125503,LA PENCA MEZCAL 750ML,TEQUILA,24.99
835229001404,ABSOLUT CITRON 1L,VODKA,31.99
619947000020,TITOS 750ML,VODKA,19.99
086785110646,PRINCIPATO BIANCO 1.5L,WINE,
721059001175,SKYY VODKA INFUSION GRGIAPEACH 375ml,VODKA,4.99
088076171480,JOHNNIE WALKER KING GEORGE V 750ML,SCOTCH,599.99
854877004049,KRUTO FLAWLESS 750ML,VODKA,16.99
82100739189,ARBOR MIST SANGRIA RITA 10OZ,WINE,
083089620000,MICHAEL COLLINS IRISH WHISKER 750ML,WHISKEY,26.99
081240100309,ZAPOPAN REPOSADO 1L,TEQUILA,19.99
081240750801,ED HARDY SILVER TEQUILA 750ML,TEQUILA,19.99
085000424995,BAREFOOT REFRESH ROSE SPRITZER 4PK,WINE,8.99
720815980136,SEAGRAMS GRAPEFRUIT 750ML,VODKA,11.99
649188900391,GRAND MARNIER RASPBERRY PEACH 750ML,LIQUEUR,36.99
33457,PORTA VITABLANCO 2015,WINE,8.99
039383009317,CROP SPICED PUMPKIN 750ML,LIQUEUR,6.99
088586001765,14 HANDS CHARDONNAY 750ML,WINE,11.99
013528200029,SHAFER MERLOT,WINE,57.99
